 * Running on http://0.0.0.0:51945/ (Press CTRL+C to quit)
64.229.97.140 - - [17/Feb/2018 03:02:26] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:26] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [17/Feb/2018 03:02:27] "GET /static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:33] "GET /1ST_BTC_okex/query/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:34] "GET /1ST_BTC_okex/content/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:35] "GET /1ST_BTC_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:36] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [17/Feb/2018 03:02:39] "GET /1ST_BTC_okex/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:39] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [17/Feb/2018 03:02:42] "GET /1ST_BTC_okex/content/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:44] "GET /1ST_BTC_okex/query/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:02:51] "GET /1ST_BTC_okex/content/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:14] "GET /ADA_BTC_binance/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:14] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [17/Feb/2018 03:03:16] "GET /ADA_BTC_binance/content/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:21] "GET /ADA_ETH_binance/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:22] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [17/Feb/2018 03:03:23] "GET /ADA_ETH_binance/content/ HTTP/1.1" 200 -
38.122.43.186 - - [17/Feb/2018 03:03:27] "GET /ETH_BTC_binance/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:27] "GET /1ST_BTC_okex/ HTTP/1.1" 200 -
38.122.43.186 - - [17/Feb/2018 03:03:27] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
64.229.97.140 - - [17/Feb/2018 03:03:27] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
38.122.43.186 - - [17/Feb/2018 03:03:28] "GET /ETH_BTC_binance/content/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:29] "GET /1ST_BTC_okex/content/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:46] "GET /BCH_BNB_binance/ HTTP/1.1" 200 -
64.229.97.140 - - [17/Feb/2018 03:03:46] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 -
